Aalborg           57.043096 9.916781 1
Skalborg          57.008238 9.898506 0,2
Svenstrup         56.973138 9.856297 1,3
Stoevring         56.890982 9.844220 2,4
Skoerping         56.835654 9.887202 3,5
Arden             56.769703 9.859914 4,6
Hobro             56.643479 9.782618 5,7
Randers           56.461743 10.021940 6,8
Langaa            56.386359 9.896540 7,9
Hadsten           56.327560 10.046967 8,10
Aarhus            56.149992 10.204080 9,11
Skanderborg       56.043473 9.924774 10,12
Horsens           55.862853 9.835689 11,13
Vejle             55.706633 9.536846 12,14
Fredericia        55.568416 9.739959 13,15
Middelfart        55.501667 9.733994 14,16
Odense            55.401581 10.384861 15,17
Langeskov         55.361755 10.586520 16,18
Nyborg            55.314134 10.803084 17,19
Korsoer           55.357175 11.134984 18,20
Slagelse          55.407687 11.350258 19,21
Soroe             55.419143 11.569504 20,22
Ringsted          55.437980 11.786506 21,23
Roskilde          55.639100 12.089088 22,24
Hoeje_Taastrup    55.648812 12.270367 23,25
Valby             55.663849 12.513794 24,26
Koebenhavn        55.671520 12.566016 25
